id;date;type;duree;description;ressource_id
263073c9-a3f3-473d-a9ad-d094667b4300;2023-01-25;Autres;61084;yellow Togo;70e29387-7d11-4a71-85c5-b6e1c6ff4fa1
36467a4f-3c9c-4cee-8c9c-e3570996ddd3;2023-01-25;Support;75339;architectures;0a7258c6-1ae4-4a3b-aa3a-b650ebdcee07
5799ea2f-bddf-494e-a843-c4108d202676;2023-01-26;Autres;75099;Digitized;0634c7f1-37e3-45be-ac08-68c2dcefd53a
7731a08b-6800-4440-aef4-db43eb2b6a00;2023-01-25;Dev;15694;Wooden;12f4f2ce-3b49-46c5-9f63-33a5fced34a9
3be1d8a6-39c0-44e8-b646-c6402d038de3;2023-01-26;Autres;45318;virtual;dd67192a-85f8-4736-806f-79c6ca0c3ec4
9e3f83cb-a711-4833-82f1-1a0631422aee;2023-01-25;Support;73135;extend;afd34b4e-2a10-4168-b1eb-e7de5cbc30c0
967f686d-d596-4f58-a5ee-59f1537d7593;2023-01-25;Autres;65463;contextually-based Creative Plastic;2b4e2833-2391-4fb5-9a55-5439f447978d
83dd7441-2c6b-4c04-b0fd-9ce01f359080;2023-01-26;Dev;83890;Cotton;78fc8dea-c275-4e5c-ba6a-013bf4e762d2
3a1a3975-9f25-4453-bc0a-8a9998c5cd7e;2023-01-26;Dev;17809;Savings;ae11d98f-191c-4f92-be89-0fc514efcfd7
0771e86a-129a-45d0-a5f1-600e27db9ae5;2023-01-26;Support;42404;Manager green;889be6ed-67e5-4d43-b017-d7b0a6b31f76
