id;description;produit;solution;etat;date_debut;date_fin;duree;ressource_id
1b0036fb-871a-4ecc-b609-a93ba0a1f7cd;Branding Frozen;Division;interfaces AI card;Termine;2023-01-26;2023-01-26;790;70e29387-7d11-4a71-85c5-b6e1c6ff4fa1
455afb13-5a75-4006-98d5-345e73bb6000;Concrete;pricing;Profit-focused Generic;Planifier;2023-01-25;2023-01-26;99349;0a7258c6-1ae4-4a3b-aa3a-b650ebdcee07
ad1455f4-fb63-41ec-9278-1fc52505b80d;Tunnel;ivory facilitate leading-edge;green system Quetzal;EnCours;2023-01-25;2023-01-25;73662;0634c7f1-37e3-45be-ac08-68c2dcefd53a
5e2a12b1-2020-4db8-842a-96adc7a9fef9;Dong frictionless;Nevada Integrated application;demand-driven;EnCours;2023-01-26;2023-01-26;82522;12f4f2ce-3b49-46c5-9f63-33a5fced34a9
b28ded34-04eb-4502-a899-e84d416f09d0;UIC-Franc feed Tactics;Haiti Future;pink;Termine;2023-01-25;2023-01-26;92594;dd67192a-85f8-4736-806f-79c6ca0c3ec4
48708fee-c43e-4256-a415-71071ea7328f;application application;open-source Washington;program mindshare Sleek;Termine;2023-01-25;2023-01-26;85870;afd34b4e-2a10-4168-b1eb-e7de5cbc30c0
5d8a0bb1-44da-40f0-a7fd-b7f5f137d56a;BCEAO;Supervisor Tuna calculate;solutions;Planifier;2023-01-26;2023-01-25;29498;2b4e2833-2391-4fb5-9a55-5439f447978d
31e9b745-b438-4f75-87c1-a7f19833999e;navigating Sports;Indiana Plastic;Rubber;Termine;2023-01-25;2023-01-26;3542;78fc8dea-c275-4e5c-ba6a-013bf4e762d2
1feb4a6f-5b9a-4804-a0c8-1ec512d5d07d;withdrawal Outdoors Shirt;Architect mobile;paradigm Berkshire;Planifier;2023-01-25;2023-01-25;89084;ae11d98f-191c-4f92-be89-0fc514efcfd7
95b82340-a4e9-4ac1-be24-2e7af1c4a281;Berkshire Pants;edge Directives Locks;deposit Decentralized infrastructures;Planifier;2023-01-26;2023-01-25;22829;889be6ed-67e5-4d43-b017-d7b0a6b31f76
